"Timestamp","Low","Full","Temp","Station"
"Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 10395024, SEN S/N: 10395024)","Full Range, μS/cm (LGR S/N: 10395024, SEN S/N: 10395024)","Temp, °C (LGR S/N: 10395024, SEN S/N: 10395024)",1
"05/25/23 12:00:00 PM","3.7","17.5","24.07",1
"05/25/23 12:00:05 PM","8.3","6.1","24.05",1
"05/25/23 12:00:10 PM","3.7","17.5","24.05",1
"05/25/23 12:00:15 PM","8.3","6.1","24.05",1
"05/25/23 12:00:20 PM","3.7","6.1","24.04",1
"05/25/23 12:00:25 PM","3.6","6.1","24.04",1
"05/25/23 12:00:30 PM","6.4","6.1","24.03",1
"05/25/23 12:00:35 PM","8.3","6.1","24.03",1
"05/25/23 12:00:40 PM","3.7","6.1","24.01",1
"05/25/23 12:00:45 PM","3.6","6.1","24.00",1
"05/25/23 12:00:50 PM","3.7","6.1","24.00",1
"05/25/23 12:00:55 PM","3.7","6.1","23.99",1
"05/25/23 12:01:00 PM","3.7","6.1","23.97",1
"05/25/23 12:01:05 PM","3.7","6.1","23.97",1
"05/25/23 12:01:10 PM","6.4","6.1","23.96",1
"05/25/23 12:01:15 PM","3.7","17.5","23.96",1
"05/25/23 12:01:20 PM","6.4","6.1","23.95",1
"05/25/23 12:01:25 PM","3.7","6.1","23.95",1
"05/25/23 12:01:30 PM","6.4","6.1","23.93",1
"05/25/23 12:01:35 PM","3.7","6.1","23.92",1
"05/25/23 12:01:40 PM","3.6","6.1","23.91",1
"05/25/23 12:01:45 PM","8.3","17.5","23.91",1
"05/25/23 12:01:50 PM","3.7","17.5","23.89",1
"05/25/23 12:01:55 PM","3.6","6.1","23.88",1
"05/25/23 12:02:00 PM","3.6","6.1","23.87",1
"05/25/23 12:02:05 PM","3.6","6.1","23.85",1
"05/25/23 12:02:10 PM","3.6","6.1","23.85",1
"05/25/23 12:02:15 PM","3.7","6.1","23.84",1
"05/25/23 12:02:20 PM","3.6","6.1","23.83",1
"05/25/23 12:02:25 PM","3.7","17.5","23.83",1
"05/25/23 12:02:30 PM","3.6","6.1","23.81",1
"05/25/23 12:02:35 PM","3.6","17.5","23.80",1
"05/25/23 12:02:40 PM","6.4","6.1","23.80",1
"05/25/23 12:02:45 PM","3.7","6.1","23.79",1
"05/25/23 12:02:50 PM","6.4","6.1","23.77",1
"05/25/23 12:02:55 PM","8.3","17.5","23.76",1
"05/25/23 12:03:00 PM","3.6","6.1","23.76",1
"05/25/23 12:03:05 PM","8.3","6.1","23.76",1
"05/25/23 12:03:10 PM","3.6","6.1","23.75",1
"05/25/23 12:03:15 PM","3.7","6.1","23.73",1
"05/25/23 12:03:20 PM","3.6","6.1","23.72",1
"05/25/23 12:03:25 PM","3.6","6.1","23.72",1
"05/25/23 12:03:30 PM","8.3","6.1","23.71",1
"05/25/23 12:03:35 PM","3.7","6.1","23.71",1
"05/25/23 12:03:40 PM","6.4","6.1","23.69",1
"05/25/23 12:03:45 PM","3.6","6.1","23.68",1
"05/25/23 12:03:50 PM","3.7","17.5","23.64",1
"05/25/23 12:03:55 PM","3.6","17.5","23.69",1
"05/25/23 12:04:00 PM","37.1","6.1","23.77",1
"05/25/23 12:04:05 PM","6.1","12.6","23.77",1
"05/25/23 12:04:10 PM","24.8","26.3","23.77",1
"05/25/23 12:04:15 PM","24.8","6.1","23.77",1
"05/25/23 12:04:20 PM","24.8","17.5","23.77",1
"05/25/23 12:04:25 PM","8.3","6.1","23.77",1
"05/25/23 12:04:30 PM","24.8","17.5","23.77",1
"05/25/23 12:04:35 PM","24.8","17.5","23.77",1
"05/25/23 12:04:40 PM","24.8","17.5","23.77",1
"05/25/23 12:04:45 PM","24.8","17.5","23.77",1
"05/25/23 12:04:50 PM","24.8","6.1","23.77",1
"05/25/23 12:04:55 PM","8.3","17.5","23.77",1
"05/25/23 12:05:00 PM","24.8","17.5","23.77",1
"05/25/23 12:05:05 PM","24.8","6.1","23.76",1
"05/25/23 12:05:10 PM","8.3","6.1","23.77",1
"05/25/23 12:05:15 PM","8.3","6.1","23.77",1
"05/25/23 12:05:20 PM","8.3","17.5","23.77",1
"05/25/23 12:05:25 PM","24.8","6.1","23.77",1
"05/25/23 12:05:30 PM","24.8","17.5","23.77",1
"05/25/23 12:05:35 PM","8.3","17.5","23.79",1
"05/25/23 12:05:40 PM","8.3","6.1","23.80",1
"05/25/23 12:05:45 PM","24.8","6.1","23.80",1
"05/25/23 12:05:50 PM","6.4","17.5","23.80",1
"05/25/23 12:05:55 PM","24.8","12.6","23.81",1
"05/25/23 12:06:00 PM","8.3","6.1","23.81",1
"05/25/23 12:06:05 PM","8.3","17.5","23.81",1
"05/25/23 12:06:10 PM","6.4","17.5","23.81",1
"05/25/23 12:06:15 PM","6.4","17.5","23.81",1
"05/25/23 12:06:20 PM","3.7","17.5","23.81",1
"05/25/23 12:06:25 PM","24.8","6.1","23.81",1
"05/25/23 12:06:30 PM","8.3","17.5","23.81",1
