"Date_Time","Variable","Value","Site","Station","Flag","id"
"05/31/23 10:45:00 AM","DO_conc",8.43,"erwin","downstream","NA",1
"05/31/23 11:00:00 AM","DO_conc",8.55,"erwin","downstream","NA",2
"05/31/23 11:15:00 AM","DO_conc",8.57,"erwin","downstream","NA",3
"05/31/23 11:30:00 AM","DO_conc",8.6,"erwin","downstream","NA",4
"05/31/23 11:45:00 AM","DO_conc",8.57,"erwin","downstream","NA",5
"05/31/23 12:00:00 PM","DO_conc",8.58,"erwin","downstream","NA",6
"05/31/23 12:15:00 PM","DO_conc",8.63,"erwin","downstream","NA",7
"05/31/23 12:30:00 PM","DO_conc",8.59,"erwin","downstream","NA",8
"05/31/23 12:45:00 PM","DO_conc",8.62,"erwin","downstream","NA",9
"05/31/23 01:00:00 PM","DO_conc",8.78,"erwin","downstream","NA",10
"05/31/23 01:15:00 PM","DO_conc",8.76,"erwin","downstream","NA",11
"05/31/23 01:30:00 PM","DO_conc",8.81,"erwin","downstream","NA",12
"05/31/23 01:45:00 PM","DO_conc",8.9,"erwin","downstream","NA",13
"05/31/23 02:00:00 PM","DO_conc",8.85,"erwin","downstream","NA",14
"05/31/23 02:15:00 PM","DO_conc",8.9,"erwin","downstream","NA",15
"05/31/23 02:30:00 PM","DO_conc",8.79,"erwin","downstream","NA",16
"05/31/23 02:45:00 PM","DO_conc",8.8,"erwin","downstream","NA",17
"05/31/23 03:00:00 PM","DO_conc",8.76,"erwin","downstream","NA",18
"05/31/23 03:15:00 PM","DO_conc",8.78,"erwin","downstream","NA",19
"05/31/23 03:30:00 PM","DO_conc",8.74,"erwin","downstream","NA",20
"05/31/23 03:45:00 PM","DO_conc",8.72,"erwin","downstream","NA",21
"05/31/23 04:00:00 PM","DO_conc",8.65,"erwin","downstream","NA",22
"05/31/23 04:15:00 PM","DO_conc",8.6,"erwin","downstream","NA",23
"05/31/23 04:30:00 PM","DO_conc",8.57,"erwin","downstream","NA",24
"05/31/23 04:45:00 PM","DO_conc",8.52,"erwin","downstream","NA",25
"05/31/23 05:00:00 PM","DO_conc",8.48,"erwin","downstream","NA",26
"05/31/23 05:15:00 PM","DO_conc",8.45,"erwin","downstream","NA",27
"05/31/23 05:30:00 PM","DO_conc",8.42,"erwin","downstream","NA",28
"05/31/23 05:45:00 PM","DO_conc",8.42,"erwin","downstream","NA",29
"05/31/23 06:00:00 PM","DO_conc",8.52,"erwin","downstream","NA",30
"05/31/23 06:15:00 PM","DO_conc",8.48,"erwin","downstream","NA",31
"05/31/23 06:30:00 PM","DO_conc",8.46,"erwin","downstream","NA",32
"05/31/23 06:45:00 PM","DO_conc",8.45,"erwin","downstream","NA",33
"05/31/23 07:00:00 PM","DO_conc",8.39,"erwin","downstream","NA",34
"05/31/23 07:15:00 PM","DO_conc",8.32,"erwin","downstream","NA",35
"05/31/23 07:30:00 PM","DO_conc",8.26,"erwin","downstream","NA",36
"05/31/23 07:45:00 PM","DO_conc",8.14,"erwin","downstream","NA",37
"05/31/23 08:00:00 PM","DO_conc",8.03,"erwin","downstream","NA",38
"05/31/23 08:15:00 PM","DO_conc",7.93,"erwin","downstream","NA",39
"05/31/23 08:30:00 PM","DO_conc",7.95,"erwin","downstream","NA",40
"05/31/23 08:45:00 PM","DO_conc",7.86,"erwin","downstream","NA",41
"05/31/23 09:00:00 PM","DO_conc",7.81,"erwin","downstream","NA",42
"05/31/23 09:15:00 PM","DO_conc",7.75,"erwin","downstream","NA",43
"05/31/23 09:30:00 PM","DO_conc",7.74,"erwin","downstream","NA",44
"05/31/23 09:45:00 PM","DO_conc",7.66,"erwin","downstream","NA",45
"05/31/23 10:00:00 PM","DO_conc",7.67,"erwin","downstream","NA",46
"05/31/23 10:15:00 PM","DO_conc",7.66,"erwin","downstream","NA",47
"05/31/23 10:30:00 PM","DO_conc",7.5,"erwin","downstream","NA",48
"05/31/23 10:45:00 PM","DO_conc",7.51,"erwin","downstream","NA",49
"05/31/23 11:00:00 PM","DO_conc",7.66,"erwin","downstream","NA",50
"05/31/23 11:15:00 PM","DO_conc",7.54,"erwin","downstream","NA",51
"05/31/23 11:30:00 PM","DO_conc",7.67,"erwin","downstream","NA",52
"05/31/23 11:45:00 PM","DO_conc",7.59,"erwin","downstream","NA",53
"06/01/23 12:00:00 AM","DO_conc",7.95,"erwin","downstream","NA",54
"06/01/23 12:15:00 AM","DO_conc",7.92,"erwin","downstream","NA",55
"06/01/23 12:30:00 AM","DO_conc",7.92,"erwin","downstream","NA",56
"06/01/23 12:45:00 AM","DO_conc",7.92,"erwin","downstream","NA",57
"06/01/23 01:00:00 AM","DO_conc",7.89,"erwin","downstream","NA",58
"06/01/23 01:15:00 AM","DO_conc",7.87,"erwin","downstream","NA",59
"06/01/23 01:30:00 AM","DO_conc",7.86,"erwin","downstream","NA",60
"06/01/23 01:45:00 AM","DO_conc",7.86,"erwin","downstream","NA",61
"06/01/23 02:00:00 AM","DO_conc",7.86,"erwin","downstream","NA",62
"06/01/23 02:15:00 AM","DO_conc",7.83,"erwin","downstream","NA",63
"06/01/23 02:30:00 AM","DO_conc",7.83,"erwin","downstream","NA",64
"06/01/23 02:45:00 AM","DO_conc",7.81,"erwin","downstream","NA",65
"06/01/23 03:00:00 AM","DO_conc",7.81,"erwin","downstream","NA",66
"06/01/23 03:15:00 AM","DO_conc",7.8,"erwin","downstream","NA",67
"06/01/23 03:30:00 AM","DO_conc",7.79,"erwin","downstream","NA",68
"06/01/23 03:45:00 AM","DO_conc",7.76,"erwin","downstream","NA",69
"06/01/23 04:00:00 AM","DO_conc",7.75,"erwin","downstream","NA",70
"06/01/23 04:15:00 AM","DO_conc",7.76,"erwin","downstream","NA",71
"06/01/23 04:30:00 AM","DO_conc",7.73,"erwin","downstream","NA",72
"06/01/23 04:45:00 AM","DO_conc",7.72,"erwin","downstream","NA",73
"06/01/23 05:00:00 AM","DO_conc",7.69,"erwin","downstream","NA",74
"06/01/23 05:15:00 AM","DO_conc",7.68,"erwin","downstream","NA",75
"06/01/23 05:30:00 AM","DO_conc",7.71,"erwin","downstream","NA",76
"06/01/23 05:45:00 AM","DO_conc",7.69,"erwin","downstream","NA",77
"06/01/23 06:00:00 AM","DO_conc",7.7,"erwin","downstream","NA",78
"06/01/23 06:15:00 AM","DO_conc",7.7,"erwin","downstream","NA",79
"06/01/23 06:30:00 AM","DO_conc",7.69,"erwin","downstream","NA",80
"06/01/23 06:45:00 AM","DO_conc",7.71,"erwin","downstream","NA",81
"06/01/23 07:00:00 AM","DO_conc",7.73,"erwin","downstream","NA",82
"06/01/23 07:15:00 AM","DO_conc",7.73,"erwin","downstream","NA",83
"06/01/23 07:30:00 AM","DO_conc",7.73,"erwin","downstream","NA",84
"06/01/23 07:45:00 AM","DO_conc",7.76,"erwin","downstream","NA",85
"06/01/23 08:00:00 AM","DO_conc",7.76,"erwin","downstream","NA",86
"06/01/23 08:15:00 AM","DO_conc",7.82,"erwin","downstream","NA",87
"06/01/23 08:30:00 AM","DO_conc",7.84,"erwin","downstream","NA",88
"06/01/23 08:45:00 AM","DO_conc",7.83,"erwin","downstream","NA",89
